Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sagicor Financial Company Ltd.,SFC,2021,3,2,6.0,Financial Services,Insurance—Diversified,894970000.0,N/A,N/A,0.83,0.0479,N/A,N/A
Invesque Inc.,IVQ,2021,3,2,3.15,Healthcare,Medical Care Facilities,175740000.0,N/A,N/A,0.73,N/A,0.0,N/A
Dividend 15 Split Corp. II,DF,2021,3,2,3.86,Financial Services,Asset Management,53450000.0,N/A,N/A,N/A,N/A,N/A,N/A
Prime Dividend Corp.,PDV,2021,3,1,6.12,Financial Services,Asset Management,5750000.0,N/A,N/A,1.1,0.0684,N/A,N/A
Waste Connections Inc.,WCN,2021,3,2,125.57,Industrials,Waste Management,33020000000.000004,161.4,N/A,4.81,0.0084,0.9743999999999999,769.8671162237207
Laramide Resources Ltd.,LAM,2021,3,2,0.43,Basic Materials,Other Industrial Metals & Mining,71390000.0,N/A,N/A,0.93,N/A,0.0,N/A
Bombardier Inc.,BBD-B,2021,3,2,0.59,Industrials,Aerospace & Defense,1500000000.0,N/A,-0.04,N/A,N/A,0.0,N/A
Silver Bear Resources Plc,SBR,2021,3,2,0.155,Basic Materials,Silver,104330000.0,N/A,N/A,N/A,N/A,0.0,N/A
Sleep Country Canada Holdings Inc.,ZZZ,2021,3,2,28.0,Consumer Cyclical,Specialty Retail,1030000000.0,20.29,0.78,3.04,0.028999999999999998,0.2826,59.94324586977648
CI Financial Corp,CIX,2021,3,2,17.53,Financial Services,Asset Management,3670000000.0,7.93,0.77,2.33,0.0403,0.3258,17.761126598096702
Imperial Metals Corporation,III,2021,3,2,4.45,Basic Materials,Copper,571780000.0,N/A,1.4,0.78,N/A,0.0,N/A
Melcor Developments Ltd.,MRD,2021,3,2,10.0,Real Estate,Real Estate—Development,331300000.0,11.59,N/A,0.3,0.031400000000000004,0.44189999999999996,3.3711460151250723
Trican Well Service Ltd.,TCW,2021,3,2,1.92,Energy,Oil & Gas Equipment & Services,490270000.0,N/A,-0.29,1.0,N/A,0.0,N/A
Orbit Garant Drilling Inc.,OGD,2021,3,2,0.97,Basic Materials,Other Industrial Metals & Mining,35910000.0,N/A,-0.58,0.5,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,3,2,0.24,Energy,Uranium,55540000.0,N/A,N/A,1.29,N/A,0.0,N/A
Surge Energy Inc.,SGY,2021,3,2,0.51,Energy,Oil & Gas E&P,173290000.0,N/A,-0.02,N/A,N/A,N/A,N/A
Essential Energy Services Ltd.,ESN,2021,3,2,0.29,Energy,Oil & Gas Equipment & Services,41140000.0,N/A,4.1,0.3,N/A,0.0,N/A
Bloom Select Income Fund,BLB-UN,2021,3,2,9.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,PIPE-WT,2021,2,4,0.005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xtra-Gold Resources Corp.,XTG,2021,3,2,1.25,Basic Materials,Gold,58590000.0,27.17,N/A,6.1,N/A,0.0,165.737
Pembina Pipeline Corporation,PPL,2021,3,2,32.89,Energy,Oil & Gas Midstream,18090000000.0,N/A,9.99,1.51,0.0764,N/A,N/A
Open Text Corporation,OTEX,2021,3,2,58.08,Technology,Software—Application,15840000000.0,175.47,N/A,3.95,0.0176,2.1958,681.1188089622641
BlackBerry Limited,BB,2021,3,2,13.22,Technology,Software—Infrastructure,7440000000.0,N/A,N/A,4.12,N/A,0.0,N/A
Martinrea International Inc.,MRE,2021,3,2,15.01,Consumer Cyclical,Auto Parts,1210000000.0,N/A,3.16,1.02,0.0132,N/A,N/A
PyroGenesis Canada Inc.,PYR,2021,3,2,8.84,Industrials,Specialty Industrial Machinery,1410000000.0,98.22,N/A,57.78,N/A,0.0,5675.1516
5N Plus Inc.,VNP,2021,3,2,4.55,Basic Materials,Specialty Chemicals,371510000.0,168.52,575.33,3.14,N/A,0.0,529.1528000000001
Cogeco Inc.,CGO,2021,3,2,94.85,Communication Services,Telecom Services,1520000000.0,11.07,-0.44,1.9,0.0231,0.2299,20.558107711856128
NXT Energy Solutions Inc.,SFD,2021,3,2,0.54,Energy,Oil & Gas Equipment & Services,34780000.0,N/A,N/A,1.55,N/A,0.0,N/A
Peyto Exploration & Development Corp.,PEY,2021,3,2,5.82,Energy,Oil & Gas E&P,959900000.0,N/A,0.57,0.61,0.0068000000000000005,N/A,N/A
Excelsior Mining Corp.,MIN,2021,3,2,0.92,Basic Materials,Other Industrial Metals & Mining,252470000.0,N/A,N/A,9.2,N/A,0.0,N/A
Paramount Resources Ltd.,POU,2021,3,2,11.0,Energy,Oil & Gas E&P,1480000000.0,N/A,0.04,0.87,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,3,2,0.37,Consumer Defensive,Farm Products,13940000.0,0.94,N/A,N/A,N/A,0.0,N/A
Trisura Group Ltd.,TSU,2021,3,2,123.54,Financial Services,Insurance—Specialty,1270000000.0,37.66,N/A,4.38,N/A,0.0,164.9508
MediPharm Labs Corp.,LABS,2021,3,2,0.55,Healthcare,Drug Manufacturers—Specialty & Generic,76770000.0,N/A,N/A,0.73,N/A,0.0,N/A
Gold Springs Resource Corp.,GRC,2021,3,1,0.085,Basic Materials,Gold,21170000.0,N/A,N/A,0.9,N/A,0.0,N/A
Verde Agritech Plc,NPK,2021,3,2,1.26,Basic Materials,Agricultural Inputs,61040000.0,78.75,N/A,2.94,N/A,0.0,231.525
TORC Oil & Gas Ltd.,TOG,2021,2,26,3.21,Energy,Oil & Gas E&P,714580000.0,N/A,-0.02,1.45,N/A,N/A,N/A
Keyera Corp.,KEY,2021,3,2,24.79,Energy,Oil & Gas Midstream,5480000000.0,88.54,0.52,1.98,0.0764,6.8571,162.86622073578596
Antibe Therapeutics Inc.,ATE,2021,3,2,5.1,Healthcare,Biotechnology,232090000.0,N/A,N/A,11.7,N/A,0.0,N/A
Photon Control Inc.,PHO,2021,3,2,2.7,Technology,Scientific & Technical Instruments,282420000.0,22.5,778.5,4.49,N/A,0.0,101.025
Kinross Gold Corporation,K,2021,3,2,8.13,Basic Materials,Gold,10230000000.0,7.67,N/A,1.55,0.0195,0.056600000000000004,11.661108386463953
